29 Nov 2023 19:23:08: Peer 1002 makes a connection to Peer 1001
29 Nov 2023 19:23:09: Peer 1002 received BITFIELD message from Peer 1001
29 Nov 2023 19:23:10: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:23:47: Peer 1002 is connected from Peer 1003
29 Nov 2023 19:23:50: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:23:55: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:24:10: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:24:15: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:24:25: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:24:40: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:24:45: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:24:55: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:25:00: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:25:05: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:25:10: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:25:20: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:25:25: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:25:45: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:25:55: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:25:57: Peer 1002 is connected from Peer 1004
29 Nov 2023 19:26:00: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:26:05: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:26:15: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:26:25: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:26:45: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:26:50: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:26:55: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:27:00: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:27:15: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:27:30: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:27:35: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:28:00: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:28:40: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:28:55: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:29:05: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:29:10: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:29:35: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:29:40: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:30:15: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:30:20: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:30:30: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:30:35: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:30:55: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:31:00: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:31:05: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:31:15: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:31:20: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:31:25: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:31:35: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:31:40: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:31:45: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:31:50: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:32:05: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:32:15: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:32:20: Peer 1002 received UNCHOKE message from Peer 1001
29 Nov 2023 19:32:25: Peer 1002 received CHOKE message from Peer 1001
29 Nov 2023 19:32:55: Peer 1002 received UNCHOKE message from Peer 1001
